open_time,close_time,open_time_utc,close_time_utc,symbol,interval,open,high,low,close,volume,trade_count
1777865940000,1777865999999,2026-05-04T03:39:00.000Z,2026-05-04T03:39:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777866000000,1777866059999,2026-05-04T03:40:00.000Z,2026-05-04T03:40:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777866060000,1777866119999,2026-05-04T03:41:00.000Z,2026-05-04T03:41:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777866120000,1777866179999,2026-05-04T03:42:00.000Z,2026-05-04T03:42:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777866180000,1777866239999,2026-05-04T03:43:00.000Z,2026-05-04T03:43:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777866240000,1777866299999,2026-05-04T03:44:00.000Z,2026-05-04T03:44:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777866300000,1777866359999,2026-05-04T03:45:00.000Z,2026-05-04T03:45:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777866360000,1777866419999,2026-05-04T03:46:00.000Z,2026-05-04T03:46:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777866420000,1777866479999,2026-05-04T03:47:00.000Z,2026-05-04T03:47:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777866480000,1777866539999,2026-05-04T03:48:00.000Z,2026-05-04T03:48:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777866540000,1777866599999,2026-05-04T03:49:00.000Z,2026-05-04T03:49:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777866600000,1777866659999,2026-05-04T03:50:00.000Z,2026-05-04T03:50:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777866660000,1777866719999,2026-05-04T03:51:00.000Z,2026-05-04T03:51:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777866720000,1777866779999,2026-05-04T03:52:00.000Z,2026-05-04T03:52:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777866780000,1777866839999,2026-05-04T03:53:00.000Z,2026-05-04T03:53:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777866840000,1777866899999,2026-05-04T03:54:00.000Z,2026-05-04T03:54:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777866900000,1777866959999,2026-05-04T03:55:00.000Z,2026-05-04T03:55:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777866960000,1777867019999,2026-05-04T03:56:00.000Z,2026-05-04T03:56:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777867020000,1777867079999,2026-05-04T03:57:00.000Z,2026-05-04T03:57:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777867080000,1777867139999,2026-05-04T03:58:00.000Z,2026-05-04T03:58:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777867140000,1777867199999,2026-05-04T03:59:00.000Z,2026-05-04T03:59:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777867200000,1777867259999,2026-05-04T04:00:00.000Z,2026-05-04T04:00:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777867260000,1777867319999,2026-05-04T04:01:00.000Z,2026-05-04T04:01:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777867320000,1777867379999,2026-05-04T04:02:00.000Z,2026-05-04T04:02:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777867380000,1777867439999,2026-05-04T04:03:00.000Z,2026-05-04T04:03:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777867440000,1777867499999,2026-05-04T04:04:00.000Z,2026-05-04T04:04:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777867500000,1777867559999,2026-05-04T04:05:00.000Z,2026-05-04T04:05:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777867560000,1777867619999,2026-05-04T04:06:00.000Z,2026-05-04T04:06:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777867620000,1777867679999,2026-05-04T04:07:00.000Z,2026-05-04T04:07:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777867680000,1777867739999,2026-05-04T04:08:00.000Z,2026-05-04T04:08:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777867740000,1777867799999,2026-05-04T04:09:00.000Z,2026-05-04T04:09:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777867800000,1777867859999,2026-05-04T04:10:00.000Z,2026-05-04T04:10:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777867860000,1777867919999,2026-05-04T04:11:00.000Z,2026-05-04T04:11:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777867920000,1777867979999,2026-05-04T04:12:00.000Z,2026-05-04T04:12:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777867980000,1777868039999,2026-05-04T04:13:00.000Z,2026-05-04T04:13:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777868040000,1777868099999,2026-05-04T04:14:00.000Z,2026-05-04T04:14:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777868100000,1777868159999,2026-05-04T04:15:00.000Z,2026-05-04T04:15:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777868160000,1777868219999,2026-05-04T04:16:00.000Z,2026-05-04T04:16:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777868220000,1777868279999,2026-05-04T04:17:00.000Z,2026-05-04T04:17:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777868280000,1777868339999,2026-05-04T04:18:00.000Z,2026-05-04T04:18:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777868340000,1777868399999,2026-05-04T04:19:00.000Z,2026-05-04T04:19:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777868400000,1777868459999,2026-05-04T04:20:00.000Z,2026-05-04T04:20:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777868460000,1777868519999,2026-05-04T04:21:00.000Z,2026-05-04T04:21:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777868520000,1777868579999,2026-05-04T04:22:00.000Z,2026-05-04T04:22:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777868580000,1777868639999,2026-05-04T04:23:00.000Z,2026-05-04T04:23:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777868640000,1777868699999,2026-05-04T04:24:00.000Z,2026-05-04T04:24:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777868700000,1777868759999,2026-05-04T04:25:00.000Z,2026-05-04T04:25:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777868760000,1777868819999,2026-05-04T04:26:00.000Z,2026-05-04T04:26:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777868820000,1777868879999,2026-05-04T04:27:00.000Z,2026-05-04T04:27:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777868880000,1777868939999,2026-05-04T04:28:00.000Z,2026-05-04T04:28:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777868940000,1777868999999,2026-05-04T04:29:00.000Z,2026-05-04T04:29:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777869000000,1777869059999,2026-05-04T04:30:00.000Z,2026-05-04T04:30:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777869060000,1777869119999,2026-05-04T04:31:00.000Z,2026-05-04T04:31:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777869120000,1777869179999,2026-05-04T04:32:00.000Z,2026-05-04T04:32:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777869180000,1777869239999,2026-05-04T04:33:00.000Z,2026-05-04T04:33:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777869240000,1777869299999,2026-05-04T04:34:00.000Z,2026-05-04T04:34:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777869300000,1777869359999,2026-05-04T04:35:00.000Z,2026-05-04T04:35:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777869360000,1777869419999,2026-05-04T04:36:00.000Z,2026-05-04T04:36:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777869420000,1777869479999,2026-05-04T04:37:00.000Z,2026-05-04T04:37:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777869480000,1777869539999,2026-05-04T04:38:00.000Z,2026-05-04T04:38:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777869540000,1777869599999,2026-05-04T04:39:00.000Z,2026-05-04T04:39:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777869600000,1777869659999,2026-05-04T04:40:00.000Z,2026-05-04T04:40:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777869660000,1777869719999,2026-05-04T04:41:00.000Z,2026-05-04T04:41:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777869720000,1777869779999,2026-05-04T04:42:00.000Z,2026-05-04T04:42:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777869780000,1777869839999,2026-05-04T04:43:00.000Z,2026-05-04T04:43:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777869840000,1777869899999,2026-05-04T04:44:00.000Z,2026-05-04T04:44:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777869900000,1777869959999,2026-05-04T04:45:00.000Z,2026-05-04T04:45:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777869960000,1777870019999,2026-05-04T04:46:00.000Z,2026-05-04T04:46:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
1777870020000,1777870079999,2026-05-04T04:47:00.000Z,2026-05-04T04:47:59.999Z,@265,1m,62.184,62.184,62.184,62.184,0.0,0
