open_time,close_time,open_time_utc,close_time_utc,symbol,interval,open,high,low,close,volume,trade_count
1767844800000,1767859199999,2026-01-08T04:00:00+00:00,2026-01-08T07:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.07,1
1767859200000,1767873599999,2026-01-08T08:00:00+00:00,2026-01-08T11:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1767873600000,1767887999999,2026-01-08T12:00:00+00:00,2026-01-08T15:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1767888000000,1767902399999,2026-01-08T16:00:00+00:00,2026-01-08T19:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1767902400000,1767916799999,2026-01-08T20:00:00+00:00,2026-01-08T23:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1767916800000,1767931199999,2026-01-09T00:00:00+00:00,2026-01-09T03:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1767931200000,1767945599999,2026-01-09T04:00:00+00:00,2026-01-09T07:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1767945600000,1767959999999,2026-01-09T08:00:00+00:00,2026-01-09T11:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1767960000000,1767974399999,2026-01-09T12:00:00+00:00,2026-01-09T15:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1767974400000,1767988799999,2026-01-09T16:00:00+00:00,2026-01-09T19:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1767988800000,1768003199999,2026-01-09T20:00:00+00:00,2026-01-09T23:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768003200000,1768017599999,2026-01-10T00:00:00+00:00,2026-01-10T03:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768017600000,1768031999999,2026-01-10T04:00:00+00:00,2026-01-10T07:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768032000000,1768046399999,2026-01-10T08:00:00+00:00,2026-01-10T11:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768046400000,1768060799999,2026-01-10T12:00:00+00:00,2026-01-10T15:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768060800000,1768075199999,2026-01-10T16:00:00+00:00,2026-01-10T19:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768075200000,1768089599999,2026-01-10T20:00:00+00:00,2026-01-10T23:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768089600000,1768103999999,2026-01-11T00:00:00+00:00,2026-01-11T03:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768104000000,1768118399999,2026-01-11T04:00:00+00:00,2026-01-11T07:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768118400000,1768132799999,2026-01-11T08:00:00+00:00,2026-01-11T11:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768132800000,1768147199999,2026-01-11T12:00:00+00:00,2026-01-11T15:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768147200000,1768161599999,2026-01-11T16:00:00+00:00,2026-01-11T19:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768161600000,1768175999999,2026-01-11T20:00:00+00:00,2026-01-11T23:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768176000000,1768190399999,2026-01-12T00:00:00+00:00,2026-01-12T03:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768190400000,1768204799999,2026-01-12T04:00:00+00:00,2026-01-12T07:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768204800000,1768219199999,2026-01-12T08:00:00+00:00,2026-01-12T11:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768219200000,1768233599999,2026-01-12T12:00:00+00:00,2026-01-12T15:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768233600000,1768247999999,2026-01-12T16:00:00+00:00,2026-01-12T19:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768248000000,1768262399999,2026-01-12T20:00:00+00:00,2026-01-12T23:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768262400000,1768276799999,2026-01-13T00:00:00+00:00,2026-01-13T03:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768276800000,1768291199999,2026-01-13T04:00:00+00:00,2026-01-13T07:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768291200000,1768305599999,2026-01-13T08:00:00+00:00,2026-01-13T11:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768305600000,1768319999999,2026-01-13T12:00:00+00:00,2026-01-13T15:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768320000000,1768334399999,2026-01-13T16:00:00+00:00,2026-01-13T19:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768334400000,1768348799999,2026-01-13T20:00:00+00:00,2026-01-13T23:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768348800000,1768363199999,2026-01-14T00:00:00+00:00,2026-01-14T03:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768363200000,1768377599999,2026-01-14T04:00:00+00:00,2026-01-14T07:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768377600000,1768391999999,2026-01-14T08:00:00+00:00,2026-01-14T11:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768392000000,1768406399999,2026-01-14T12:00:00+00:00,2026-01-14T15:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768406400000,1768420799999,2026-01-14T16:00:00+00:00,2026-01-14T19:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768420800000,1768435199999,2026-01-14T20:00:00+00:00,2026-01-14T23:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768435200000,1768449599999,2026-01-15T00:00:00+00:00,2026-01-15T03:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768449600000,1768463999999,2026-01-15T04:00:00+00:00,2026-01-15T07:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768464000000,1768478399999,2026-01-15T08:00:00+00:00,2026-01-15T11:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768478400000,1768492799999,2026-01-15T12:00:00+00:00,2026-01-15T15:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768492800000,1768507199999,2026-01-15T16:00:00+00:00,2026-01-15T19:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768507200000,1768521599999,2026-01-15T20:00:00+00:00,2026-01-15T23:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768521600000,1768535999999,2026-01-16T00:00:00+00:00,2026-01-16T03:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768536000000,1768550399999,2026-01-16T04:00:00+00:00,2026-01-16T07:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768550400000,1768564799999,2026-01-16T08:00:00+00:00,2026-01-16T11:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768564800000,1768579199999,2026-01-16T12:00:00+00:00,2026-01-16T15:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768579200000,1768593599999,2026-01-16T16:00:00+00:00,2026-01-16T19:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768593600000,1768607999999,2026-01-16T20:00:00+00:00,2026-01-16T23:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768608000000,1768622399999,2026-01-17T00:00:00+00:00,2026-01-17T03:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
1768622400000,1768636799999,2026-01-17T04:00:00+00:00,2026-01-17T07:59:59.999000+00:00,@265,4h,65.258,65.258,65.258,65.258,0.0,0
