open_time,close_time,open_time_utc,close_time_utc,symbol,interval,open,high,low,close,volume,trade_count
928368000000,928540799999,1999-06-03T00:00:00+00:00,1999-06-04T23:59:59.999000+00:00,XAGUSD,1w,4.96,4.99,4.87,4.88,297,0
928713600000,929145599999,1999-06-07T00:00:00+00:00,1999-06-11T23:59:59.999000+00:00,XAGUSD,1w,4.95,5.15,4.93,5.11,697.95,0
929318400000,929750399999,1999-06-14T00:00:00+00:00,1999-06-18T23:59:59.999000+00:00,XAGUSD,1w,5.09,5.15,4.96,4.95,696.3,0
929923200000,930355199999,1999-06-21T00:00:00+00:00,1999-06-25T23:59:59.999000+00:00,XAGUSD,1w,4.95,5.14,4.95,5.06,858,0
930528000000,930959999999,1999-06-28T00:00:00+00:00,1999-07-02T23:59:59.999000+00:00,XAGUSD,1w,5.05,5.34,4.97,5.25,666.6,0
931219200000,931564799999,1999-07-06T00:00:00+00:00,1999-07-09T23:59:59.999000+00:00,XAGUSD,1w,5.26,5.3,5.17,5.22,704.55,0
931737600000,932169599999,1999-07-12T00:00:00+00:00,1999-07-16T23:59:59.999000+00:00,XAGUSD,1w,5.21,5.24,5.05,5.07,582.45,0
932342400000,932774399999,1999-07-19T00:00:00+00:00,1999-07-23T23:59:59.999000+00:00,XAGUSD,1w,5.05,5.17,5.02,5.14,336.6,0
932947200000,933379199999,1999-07-26T00:00:00+00:00,1999-07-30T23:59:59.999000+00:00,XAGUSD,1w,5.11,5.45,5.11,5.43,767.25,0
933552000000,933983999999,1999-08-02T00:00:00+00:00,1999-08-06T23:59:59.999000+00:00,XAGUSD,1w,5.43,5.56,5.35,5.39,546.15,0
934156800000,934588799999,1999-08-09T00:00:00+00:00,1999-08-13T23:59:59.999000+00:00,XAGUSD,1w,5.36,5.42,5.28,5.3,783.75,0
934761600000,935193599999,1999-08-16T00:00:00+00:00,1999-08-20T23:59:59.999000+00:00,XAGUSD,1w,5.26,5.34,5.15,5.22,599,0
935366400000,935798399999,1999-08-23T00:00:00+00:00,1999-08-27T23:59:59.999000+00:00,XAGUSD,1w,5.2,5.25,5.07,5.1,576,0
935971200000,936403199999,1999-08-30T00:00:00+00:00,1999-09-03T23:59:59.999000+00:00,XAGUSD,1w,5.11,5.28,5.07,5.15,562,0
936662400000,937007999999,1999-09-07T00:00:00+00:00,1999-09-10T23:59:59.999000+00:00,XAGUSD,1w,5.15,5.34,5.12,5.19,497,0
937180800000,937612799999,1999-09-13T00:00:00+00:00,1999-09-17T23:59:59.999000+00:00,XAGUSD,1w,5.19,5.2,5.08,5.09,465,0
937785600000,938217599999,1999-09-20T00:00:00+00:00,1999-09-24T23:59:59.999000+00:00,XAGUSD,1w,5.09,5.3,5.09,5.23,520,0
938390400000,938822399999,1999-09-27T00:00:00+00:00,1999-10-01T23:59:59.999000+00:00,XAGUSD,1w,5.28,5.93,5.28,5.58,620,0
938995200000,939427199999,1999-10-04T00:00:00+00:00,1999-10-08T23:59:59.999000+00:00,XAGUSD,1w,5.57,5.71,5.48,5.53,477,0
939600000000,940031999999,1999-10-11T00:00:00+00:00,1999-10-15T23:59:59.999000+00:00,XAGUSD,1w,5.51,5.69,5.33,5.31,544,0
940204800000,940636799999,1999-10-18T00:00:00+00:00,1999-10-22T23:59:59.999000+00:00,XAGUSD,1w,5.32,5.51,5.16,5.23,530,0
940809600000,941241599999,1999-10-25T00:00:00+00:00,1999-10-29T23:59:59.999000+00:00,XAGUSD,1w,5.24,5.34,5.17,5.21,436,0
941414400000,941846399999,1999-11-01T00:00:00+00:00,1999-11-05T23:59:59.999000+00:00,XAGUSD,1w,5.38,5.38,5.1,5.07,564,0
942019200000,942451199999,1999-11-08T00:00:00+00:00,1999-11-12T23:59:59.999000+00:00,XAGUSD,1w,5.02,5.22,5.02,5.05,603,0
942624000000,943055999999,1999-11-15T00:00:00+00:00,1999-11-19T23:59:59.999000+00:00,XAGUSD,1w,5.05,5.2,5.03,5.15,310,0
943228800000,943660799999,1999-11-22T00:00:00+00:00,1999-11-26T23:59:59.999000+00:00,XAGUSD,1w,5.12,5.34,5.12,5.18,551,0
943833600000,944265599999,1999-11-29T00:00:00+00:00,1999-12-03T23:59:59.999000+00:00,XAGUSD,1w,5.19,5.27,5.07,5.1,524,0
944438400000,944870399999,1999-12-06T00:00:00+00:00,1999-12-10T23:59:59.999000+00:00,XAGUSD,1w,5.08,5.17,5.03,5.12,606,0
945043200000,945475199999,1999-12-13T00:00:00+00:00,1999-12-17T23:59:59.999000+00:00,XAGUSD,1w,5.1,5.33,5.1,5.22,541,0
945648000000,945993599999,1999-12-20T00:00:00+00:00,1999-12-23T23:59:59.999000+00:00,XAGUSD,1w,5.21,5.29,5.16,5.2,547,0
946252800000,946684799999,1999-12-27T00:00:00+00:00,1999-12-31T23:59:59.999000+00:00,XAGUSD,1w,5.21,5.43,5.19,5.4,760,0
946857600000,947289599999,2000-01-03T00:00:00+00:00,2000-01-07T23:59:59.999000+00:00,XAGUSD,1w,5.4,5.4,5.12,5.16,524,0
947462400000,947894399999,2000-01-10T00:00:00+00:00,2000-01-14T23:59:59.999000+00:00,XAGUSD,1w,5.13,5.18,5.09,5.11,663,0
948153600000,948499199999,2000-01-18T00:00:00+00:00,2000-01-21T23:59:59.999000+00:00,XAGUSD,1w,5.12,5.31,5.11,5.2,366,0
948672000000,949103999999,2000-01-24T00:00:00+00:00,2000-01-28T23:59:59.999000+00:00,XAGUSD,1w,5.19,5.39,5.19,5.25,525,0
949276800000,949708799999,2000-01-31T00:00:00+00:00,2000-02-04T23:59:59.999000+00:00,XAGUSD,1w,5.24,5.53,5.18,5.51,537,0
949881600000,950313599999,2000-02-07T00:00:00+00:00,2000-02-11T23:59:59.999000+00:00,XAGUSD,1w,5.46,5.54,5.23,5.27,576,0
950486400000,950918399999,2000-02-14T00:00:00+00:00,2000-02-18T23:59:59.999000+00:00,XAGUSD,1w,5.27,5.37,5.21,5.23,567,0
951177600000,951523199999,2000-02-22T00:00:00+00:00,2000-02-25T23:59:59.999000+00:00,XAGUSD,1w,5.23,5.33,5.04,5.05,486,0
951696000000,952127999999,2000-02-28T00:00:00+00:00,2000-03-03T23:59:59.999000+00:00,XAGUSD,1w,5.06,5.25,5.02,5.02,508,0
952300800000,952732799999,2000-03-06T00:00:00+00:00,2000-03-10T23:59:59.999000+00:00,XAGUSD,1w,5.1,5.12,5.01,5.07,520,0
952905600000,953337599999,2000-03-13T00:00:00+00:00,2000-03-17T23:59:59.999000+00:00,XAGUSD,1w,5.08,5.15,5.06,5.09,525,0
953510400000,953942399999,2000-03-20T00:00:00+00:00,2000-03-24T23:59:59.999000+00:00,XAGUSD,1w,5.09,5.18,5.03,5.1,507,0
954115200000,954547199999,2000-03-27T00:00:00+00:00,2000-03-31T23:59:59.999000+00:00,XAGUSD,1w,5.11,5.11,4.91,5,563,0
954720000000,955151999999,2000-04-03T00:00:00+00:00,2000-04-07T23:59:59.999000+00:00,XAGUSD,1w,5,5.18,4.98,5.08,599,0
955324800000,955756799999,2000-04-10T00:00:00+00:00,2000-04-14T23:59:59.999000+00:00,XAGUSD,1w,5.06,5.19,5.06,5.13,652,0
